text,clean_text,label,label_final,binary_label,label_merge
"Suatu hari, saya mengalami peristiwa yang membuat saya memiliki pemikiran yang memberikan label negatif pada diri sendiri dan juga orang lain. Saat itu, saya sedang berada dalam situasi yang penuh tekanan di tempat kerja.
Saya memiliki seorang rekan kerja yang selalu tampak siap menghadapi segala tantangan dengan percaya diri. Ia sering kali sukses menghadapi situasi sulit dan mendapatkan apresiasi dari atasan. Namun, saya merasa cemburu dan merendahkan diri sendiri karena merasa tidak sekompeten dan tidak berharga dibandingkan dengan rekan kerja tersebut.
Setiap kali ada proyek baru yang seharusnya menjadi kesempatan bagiku untuk menunjukkan kemampuan, saya selalu merasa ragu dan tidak yakin akan kecakapanku sendiri. Saya sering kali membandingkan diriku dengan rekan kerja tersebut, menganggap diriku sebagai $""tidak sebanding"" dan ""tidak berbakat""$. Pemikiran negatif semacam itu membuat saya merasa rendah diri dan semakin memupuk rasa tidak percaya pada diri sendiri.
Tidak hanya pada diri sendiri, pemikiran negatif ini juga terkadang saya arahkan kepada rekan kerja tersebut. Saya mulai memperhatikan setiap kali ia membuat kesalahan atau mengalami kegagalan. Pada saat itu, saya seakan menegaskan kelemahan dan ketidaksempurnaannya, memperkuat pemikiran negatif yang saya miliki.
Namun, seiring berjalannya waktu, saya menyadari bahwa pemikiran negatif ini hanya membatasi pertumbuhan pribadi saya dan merusak hubungan antara kami. Saya mulai menyadari bahwa setiap individu memiliki keunikan dan kelebihan masing-masing. Hal ini membuat saya berhenti membandingkan diri sendiri dengan orang lain dan fokus pada perkembangan pribadi tanpa harus merendahkan diri atau orang lain.
Peristiwa ini membuka mata saya tentang bagaimana pemikiran negatif dapat mempengaruhi cara kita melihat diri sendiri dan orang lain. Sejak itu, saya berusaha untuk lebih menghargai dan menghormati diri sendiri serta orang-orang di sekitar saya. Saya belajar bahwa pemikiran positif yang membangun adalah kunci untuk mengatasi perasaan rendah diri dan mencapai potensi penuh dalam hidup.","suatu hari, saya mengalami peristiwa yang membuat saya memiliki pemikiran yang memberikan label negatif pada diri sendiri dan juga orang lain. saat itu, saya sedang berada dalam situasi yang penuh tekanan di tempat kerja. saya memiliki seorang rekan kerja yang selalu tampak siap menghadapi segala tantangan dengan percaya diri. ia sering kali sukses menghadapi situasi sulit dan mendapatkan apresiasi dari atasan. namun, saya merasa cemburu dan merendahkan diri sendiri karena merasa tidak sekompeten dan tidak berharga dibandingkan dengan rekan kerja tersebut. setiap kali ada proyek baru yang seharusnya menjadi kesempatan bagiku untuk menunjukkan kemampuan, saya selalu merasa ragu dan tidak yakin akan kecakapanku sendiri. saya sering kali membandingkan diriku dengan rekan kerja tersebut, menganggap diriku sebagai $""tidak sebanding"" dan ""tidak berbakat""$. pemikiran negatif semacam itu membuat saya merasa rendah diri dan semakin memupuk rasa tidak percaya pada diri sendiri. tidak hanya pada diri sendiri, pemikiran negatif ini juga terkadang saya arahkan kepada rekan kerja tersebut. saya mulai memperhatikan setiap kali ia membuat kesalahan atau mengalami kegagalan. pada saat itu, saya seakan menegaskan kelemahan dan ketidaksempurnaannya, memperkuat pemikiran negatif yang saya miliki. namun, seiring berjalannya waktu, saya menyadari bahwa pemikiran negatif ini hanya membatasi pertumbuhan pribadi saya dan merusak hubungan antara kami. saya mulai menyadari bahwa setiap individu memiliki keunikan dan kelebihan masing-masing. hal ini membuat saya berhenti membandingkan diri sendiri dengan orang lain dan fokus pada perkembangan pribadi tanpa harus merendahkan diri atau orang lain. peristiwa ini membuka mata saya tentang bagaimana pemikiran negatif dapat mempengaruhi cara kita melihat diri sendiri dan orang lain. sejak itu, saya berusaha untuk lebih menghargai dan menghormati diri sendiri serta orang-orang di sekitar saya. saya belajar bahwa pemikiran positif yang membangun adalah kunci untuk mengatasi perasaan rendah diri dan mencapai potensi penuh dalam hidup.",Labeling,All-or-nothing,Ya,Labeling → Ya
"Peristiwanya ialah ketika saya lulus snbp kemarin, $dari sekian banyak pujian dan ucapan selamat dari rekan rekan saya. Saya hanya terpaku pada omongan ""emang sanggup hidup di bali, sadar dirilah""$","peristiwanya ialah ketika saya lulus snbp kemarin, $dari sekian banyak pujian dan ucapan selamat dari rekan rekan saya. saya hanya terpaku pada omongan ""emang sanggup hidup di bali, sadar dirilah""$",Mental filter,Mental filter,Ya,Mental filter → Ya
"Saya belum bisa bergaul dengan luwes dengan sesama. Selanjutnya,saya mencoba untuk mencoba lebih terbuka kepada sesama dan beggitu selanjutnya sampai pada akhirnya sampai pada titik yang dimana saya berpikir bahwa saya memang selalu berperilakuan seperti ini,tertutup. Pernah suatu saat ,saya berpikir saya akan berubah tapi setelah bertahun -tahun percobaan,kenapa perilaku ini sangat sulit diubah ya? $Dengan adanya perilaku ini membuat orang lain sulit berteman dengan saya.$","saya belum bisa bergaul dengan luwes dengan sesama. selanjutnya,saya mencoba untuk mencoba lebih terbuka kepada sesama dan beggitu selanjutnya sampai pada akhirnya sampai pada titik yang dimana saya berpikir bahwa saya memang selalu berperilakuan seperti ini,tertutup. pernah suatu saat ,saya berpikir saya akan berubah tapi setelah bertahun -tahun percobaan,kenapa perilaku ini sangat sulit diubah ya? $dengan adanya perilaku ini membuat orang lain sulit berteman dengan saya.$",Personalization and Blame,Personalization and Blame,Ya,Personalization and Blame → Ya
"Saya sering di puji menjadi anak yang baik,tetapi ada teman saya yang mengatakan bahwa saya tidak sebaik yang orang lain katakan karna saya suka malas membantu dia","saya sering di puji menjadi anak yang baik,tetapi ada teman saya yang mengatakan bahwa saya tidak sebaik yang orang lain katakan karna saya suka malas membantu dia",No Distortion,No Distortion,Tidak,No Distortion → Tidak
Ketika saya memiliki tugas sebagai ketua kelompok dalam suatu perlombaan tetapi kelompok saya tidak berhasil memenangkan perlombaan tersebut. Saya merasa hal tersebut terjadi karena saya sebagai ketua belum melakukan tugas saya dengan baik,ketika saya memiliki tugas sebagai ketua kelompok dalam suatu perlombaan tetapi kelompok saya tidak berhasil memenangkan perlombaan tersebut. saya merasa hal tersebut terjadi karena saya sebagai ketua belum melakukan tugas saya dengan baik,Personalization and Blame,Personalization and Blame,Ya,Personalization and Blame → Ya
Seperti mengajak ngobrol teman tetapi tidak di dengar dan merasa tidak dihiraukan tetapi hanya saja dia tidak fokus dan tidak mendengarkan ketika saya bertanya,seperti mengajak ngobrol teman tetapi tidak di dengar dan merasa tidak dihiraukan tetapi hanya saja dia tidak fokus dan tidak mendengarkan ketika saya bertanya,No Distortion,No Distortion,Tidak,No Distortion → Tidak
"Ketika saya gagal dalam suatu hal, saya hampir selalu berfikir apa mungkin ada hal-hal negatif lain yang mengikuti hal negatif itu.","ketika saya gagal dalam suatu hal, saya hampir selalu berfikir apa mungkin ada hal-hal negatif lain yang mengikuti hal negatif itu.",No Distortion,No Distortion,Tidak,No Distortion → Tidak
"Saya kesal terhadap teman saya dan $saya berpikir ""orang ini adalah problematik""$ karena beberapa kali bermasalah di kepanitian","saya kesal terhadap teman saya dan $saya berpikir ""orang ini adalah problematik""$ karena beberapa kali bermasalah di kepanitian",Labeling,All-or-nothing,Ya,Labeling → Ya
$Saya pernah menyalahkan diri karena merasa pelupa.$ Padahal itu terjadi hanya karena memang banyak sekali pekerjaan yang saya handle dalam satu waktu.,$saya pernah menyalahkan diri karena merasa pelupa.$ padahal itu terjadi hanya karena memang banyak sekali pekerjaan yang saya handle dalam satu waktu.,Personalization and Blame,Personalization and Blame,Ya,Personalization and Blame → Ya
"Saya sangat ingin dekat dengan adik saya, suatu hari saya berusaha mengajaknya keluar, namun ia menolak dan memberi alasan bahwa dia sedang ada event dan sibuk. Saya mengerti akan hal itu, tapi entah kenapa diri $saya ini selalu merasa tertolak karena ia tidak pernah bisa meluangkan waktu untuk saya.$","saya sangat ingin dekat dengan adik saya, suatu hari saya berusaha mengajaknya keluar, namun ia menolak dan memberi alasan bahwa dia sedang ada event dan sibuk. saya mengerti akan hal itu, tapi entah kenapa diri $saya ini selalu merasa tertolak karena ia tidak pernah bisa meluangkan waktu untuk saya.$",Emotional Reasoning,Personalization and Blame,Ya,Emotional Reasoning → Ya
