text,clean_text,label,binary_label
"$Saat mendekati ujian seleksi PTN (SNBT) nilaiku sempat menurun dari sebelumnya, aku sempat mempertanyakan atas kemampuan ku selama ini sampai aku menekankan diriku belajar sampai tidak tidur$","$saat mendekati ujian seleksi ptn (snbt) nilaiku sempat menurun dari sebelumnya, aku sempat mempertanyakan atas kemampuan ku selama ini sampai aku menekankan diriku belajar sampai tidak tidur$",Magnification or Minimization,Ya
teman saya pernah memberikan komentar negatif sehingga saya terus memikirkan hal itu,teman saya pernah memberikan komentar negatif sehingga saya terus memikirkan hal itu,No Distortion,Tidak
"$saya merasa jika saya tidak diajak secara eksplisit oleh teman teman saya, berarti saya tidak diinginkan$","$saya merasa jika saya tidak diajak secara eksplisit oleh teman teman saya, berarti saya tidak diinginkan$",Emotional Reasoning,Ya
"saya mendapat nilai memuaskan, namun saya tidak merasa itu hal yang positif/ membanggakan karena banyak teman lain juga dapat nilai memuaskan. $saya juga berpikir “nilai bagus ini karena soalnya gampang”$ bukan buah usaha dirinya dalam belajar. saya selalu mengabaikan bahwa nilai memuaskan adalah hal positif.","saya mendapat nilai memuaskan, namun saya tidak merasa itu hal yang positif/ membanggakan karena banyak teman lain juga dapat nilai memuaskan. $saya juga berpikir “nilai bagus ini karena soalnya gampang”$ bukan buah usaha dirinya dalam belajar. saya selalu mengabaikan bahwa nilai memuaskan adalah hal positif.",Discounting the positives,Ya
Ketika masih sekolah kerja kelompok saya dan teman teman sudah bekerja keras dalam tetapi mendapat kan nilai yang kurang memuaskan saya menyalah kan diri saya sendiri karena ketika presentasi saya terbata bata,ketika masih sekolah kerja kelompok saya dan teman teman sudah bekerja keras dalam tetapi mendapat kan nilai yang kurang memuaskan saya menyalah kan diri saya sendiri karena ketika presentasi saya terbata bata,Personalization and Blame,Ya
"Sesuai pengalaman saya, saya tidak pernah mengalami hal tersebut di atas. Itu dikarenakan oleh saya percaya hubungan sebab akibat dan semua hal ada alasannya. Maka dari itu, apapun yang terjadi dalam hidup saya ataupun yang saya miliki dan dapatkan saat ini, memiliki hubungan yang erat dengan alasan yang akan saya temukan dikemudian hari.","sesuai pengalaman saya, saya tidak pernah mengalami hal tersebut di atas. itu dikarenakan oleh saya percaya hubungan sebab akibat dan semua hal ada alasannya. maka dari itu, apapun yang terjadi dalam hidup saya ataupun yang saya miliki dan dapatkan saat ini, memiliki hubungan yang erat dengan alasan yang akan saya temukan dikemudian hari.",No Distortion,Tidak
"Mungkin karena saya sedikit kurang berfikir tethadap sesuatu, saya sering meangankan srharusnya saya berfikir matang sebelumnya","mungkin karena saya sedikit kurang berfikir tethadap sesuatu, saya sering meangankan srharusnya saya berfikir matang sebelumnya",No Distortion,Tidak
"Saya terkadang memberi label negatif terhadap diri saya, ketika saya tidak bisa melakukan sesuatu atau meraih sesuatu sesuai target pencapaian saya.","saya terkadang memberi label negatif terhadap diri saya, ketika saya tidak bisa melakukan sesuatu atau meraih sesuatu sesuai target pencapaian saya.",No Distortion,Tidak
"Saat itu, saya sangat ambisius dan memiliki harapan yang sangat tinggi untuk mencapai hasil yang sempurna dalam setiap ujian. $Saya berpikir bahwa jika saya tidak mendapatkan nilai tinggi, maka saya dianggap gagal dan semua usaha yang telah saya lakukan akan sia-sia.$ Saya melihat segala sesuatu dalam kategori sukses atau gagal, tanpa memberikan ruang bagi kemungkinan lainnya.","saat itu, saya sangat ambisius dan memiliki harapan yang sangat tinggi untuk mencapai hasil yang sempurna dalam setiap ujian. $saya berpikir bahwa jika saya tidak mendapatkan nilai tinggi, maka saya dianggap gagal dan semua usaha yang telah saya lakukan akan sia-sia.$ saya melihat segala sesuatu dalam kategori sukses atau gagal, tanpa memberikan ruang bagi kemungkinan lainnya.",All-or-nothing,Ya
"Suatu kepanitiaan yang pernah saya ikuti sewaktu SMA dibatalkan karena sedikitnya antusias sasaran dari kegiatan tersebut, saya selaku Koordinator Acara yang seharusnya memegang banyak dari kegiatan tersebut merasa bahwa saya tidak bisa mengatur suatu kegiatan dengan baik, dan saya merasa bahwa saya tidak pantas menjadi koordinator acara.","suatu kepanitiaan yang pernah saya ikuti sewaktu sma dibatalkan karena sedikitnya antusias sasaran dari kegiatan tersebut, saya selaku koordinator acara yang seharusnya memegang banyak dari kegiatan tersebut merasa bahwa saya tidak bisa mengatur suatu kegiatan dengan baik, dan saya merasa bahwa saya tidak pantas menjadi koordinator acara.",Personalization and Blame,Ya
"Saya pernah menjadi juara kelas saat SD, hanya $saya merasa itu terjadi karena teman saya yang bodoh bukan karena diri saya yg pintar$

Saya pernah memenangkan perlombaan tanya jawab di desa, hanya $saya merasa itu bukan karena kemampuan saya, melainkan lawan main saya yg tidak cakap.$","saya pernah menjadi juara kelas saat sd, hanya $saya merasa itu terjadi karena teman saya yang bodoh bukan karena diri saya yg pintar$ saya pernah memenangkan perlombaan tanya jawab di desa, hanya $saya merasa itu bukan karena kemampuan saya, melainkan lawan main saya yg tidak cakap.$",Discounting the positives,Ya
"Saya pernah merasakan hal tersebut ketika saya baru menginjak kelas 10 SMA. Saat itu saya bertanya kepada wali saya secara sopan menanyakan tugas dimana saya mewakili teman² yang bingung dan memiliki pertanyaan yang sama, namun ia membalasnya dengan kata - kata ""kamu ga bisa baca ya?"" Hal ini membuat saya sakit hati lantaran ini adalah pertanyaan yang saya ajukan karena tidak ada di guidline secara detail.","saya pernah merasakan hal tersebut ketika saya baru menginjak kelas 10 sma. saat itu saya bertanya kepada wali saya secara sopan menanyakan tugas dimana saya mewakili teman² yang bingung dan memiliki pertanyaan yang sama, namun ia membalasnya dengan kata - kata ""kamu ga bisa baca ya?"" hal ini membuat saya sakit hati lantaran ini adalah pertanyaan yang saya ajukan karena tidak ada di guidline secara detail.",No Distortion,Tidak
Khawatir berlebihan karena takut ketinggalan dan merasa seperti Anda melakukan sesuatu yang sangat bodoh karena kecerobohan.,khawatir berlebihan karena takut ketinggalan dan merasa seperti anda melakukan sesuatu yang sangat bodoh karena kecerobohan.,Magnification or Minimization,Ya
Mungkin beberapa menyatakan seperti itu karena beberapa orang memiliki selera humor yang berbeda dan memiliki cara menyikapi sesuatu yg berbeda pula,mungkin beberapa menyatakan seperti itu karena beberapa orang memiliki selera humor yang berbeda dan memiliki cara menyikapi sesuatu yg berbeda pula,No Distortion,Tidak
"Saya merasa bahwa skill bermain alat musik saya rendah, karena sering bergaul dengan teman-teman yang memang memiliki bakat yang baik dalam bidang itu. Sehingga membuat saya kehilangan minat di bidang tersebut. Walaupun sebenarnya kemampuan saya juga diatas rata-rata orang pada umumnya.","saya merasa bahwa skill bermain alat musik saya rendah, karena sering bergaul dengan teman-teman yang memang memiliki bakat yang baik dalam bidang itu. sehingga membuat saya kehilangan minat di bidang tersebut. walaupun sebenarnya kemampuan saya juga diatas rata-rata orang pada umumnya.",No Distortion,Tidak
"saat saya menjadi ketua dalam suatu event di kampus saya, $saya selalu berpikir kita harus bisa lebih daripada yang lain atau tidak sama sekali$","saat saya menjadi ketua dalam suatu event di kampus saya, $saya selalu berpikir kita harus bisa lebih daripada yang lain atau tidak sama sekali$",All-or-nothing,Ya
